UnixTimestamp;Microseconds;MilliAmpere;CurrentKG;TargetMin;TargetMax;TargetKG
1770048075.497;200;0.00;3.74;8.12;10.98;9.55
1770048076.060;200;0.00;3.64;8.12;10.98;9.55
1770048076.186;200;0.00;3.53;8.12;10.98;9.55
1770048076.441;200;0.00;3.42;8.12;10.98;9.55
1770048076.566;200;0.00;3.56;8.12;10.98;9.55
1770048076.629;200;0.00;3.70;8.12;10.98;9.55
1770048076.691;200;0.00;4.21;8.12;10.98;9.55
1770048076.754;200;0.00;4.61;8.12;10.98;9.55
1770048076.816;200;0.00;4.96;8.12;10.98;9.55
1770048076.880;200;0.00;5.29;8.12;10.98;9.55
1770048076.943;200;0.00;6.13;8.12;10.98;9.55
1770048077.007;200;0.00;7.08;8.12;10.98;9.55
1770048077.068;200;0.00;7.84;8.12;10.98;9.55
1770048077.131;200;0.00;8.74;8.12;10.98;9.55
1770048077.195;200;0.00;9.13;8.12;10.98;9.55
1770048077.258;200;0.00;9.79;8.12;10.98;9.55
1770048077.320;200;0.00;10.70;8.12;10.98;9.55
1770048077.383;200;0.00;11.44;8.12;10.98;9.55
1770048077.446;200;0.00;11.94;8.12;10.98;9.55
1770048077.509;200;0.00;12.26;8.12;10.98;9.55
1770048077.573;200;0.00;12.39;8.12;10.98;9.55
1770048077.760;200;0.00;12.38;8.12;10.98;9.55
1770048077.822;200;0.00;12.23;8.12;10.98;9.55
1770048077.945;200;0.00;12.11;8.12;10.98;9.55
1770048078.008;200;0.00;11.86;8.12;10.98;9.55
1770048078.134;200;0.00;11.57;8.12;10.98;9.55
1770048078.198;200;0.00;11.22;8.12;10.98;9.55
1770048078.260;200;0.00;10.93;8.12;10.98;9.55
1770048078.323;200;0.00;10.63;8.12;10.98;9.55
1770048078.386;200;0.00;10.32;8.12;10.98;9.55
1770048078.448;200;0.00;10.07;8.12;10.98;9.55
1770048078.512;200;0.00;9.83;8.12;10.98;9.55
1770048078.638;200;0.00;9.55;8.12;10.98;9.55
1770048078.763;200;0.00;29.43;8.12;10.98;9.55
1770048078.825;200;0.00;39.59;8.12;10.98;9.55
1770048078.888;200;0.00;33.93;8.12;10.98;9.55
1770048078.951;200;0.00;29.34;8.12;10.98;9.55
1770048079.015;200;0.00;25.70;8.12;10.98;9.55
1770048079.078;200;0.00;22.81;8.12;10.98;9.55
1770048079.141;200;0.00;21.58;8.12;10.98;9.55
1770048079.203;200;0.00;18.44;8.12;10.98;9.55
1770048079.266;200;0.00;16.80;8.12;10.98;9.55
1770048079.329;200;0.00;15.42;8.12;10.98;9.55
1770048079.393;200;0.00;14.26;8.12;10.98;9.55
1770048079.456;200;0.00;13.76;8.12;10.98;9.55
1770048079.519;200;0.00;12.90;8.12;10.98;9.55
1770048079.581;200;0.00;12.20;8.12;10.98;9.55
1770048079.642;200;0.00;11.90;8.12;10.98;9.55
1770048079.705;200;0.00;11.17;8.12;10.98;9.55
1770048079.769;200;0.00;10.79;8.12;10.98;9.55
1770048079.832;200;0.00;10.64;8.12;10.98;9.55
1770048079.895;200;0.00;10.48;8.12;10.98;9.55
1770048079.959;200;0.00;10.22;8.12;10.98;9.55
1770048080.022;200;0.00;10.01;8.12;10.98;9.55
1770048080.147;200;0.00;9.73;8.12;10.98;9.55
1770048080.211;200;0.00;9.59;8.12;10.98;9.55
1770048080.273;200;0.00;9.48;8.12;10.98;9.55
1770048080.398;200;0.00;9.35;8.12;10.98;9.55
1770048080.525;200;0.00;9.23;8.12;10.98;9.55
1770048080.652;200;0.00;9.12;8.12;10.98;9.55
1770048081.220;200;0.00;9.02;8.12;10.98;9.55
1770048081.725;200;0.00;8.91;8.12;10.98;9.55
1770048082.042;200;0.00;8.80;8.12;10.98;9.55
1770048083.295;200;0.00;8.69;8.12;10.98;9.55
1770048083.858;200;0.00;8.58;8.12;10.98;9.55
1770048084.045;200;0.00;8.20;8.12;10.98;9.55
1770048084.109;200;8.00;7.59;8.12;10.98;9.55
1770048084.173;200;8.13;7.34;8.12;10.98;9.55
1770048084.236;200;8.13;7.23;8.12;10.98;9.55
1770048084.300;200;8.24;7.45;8.12;10.98;9.55
1770048084.364;200;8.24;7.63;8.12;10.98;9.55
1770048084.426;200;8.34;7.87;8.12;10.98;9.55
1770048084.490;200;8.45;7.93;8.12;10.98;9.55
1770048084.615;200;8.45;8.05;8.12;10.98;9.55
1770048084.679;200;0.00;8.12;8.12;10.98;9.55
1770048084.871;200;0.00;8.24;8.12;10.98;9.55
1770048084.997;200;0.00;8.37;8.12;10.98;9.55
1770048085.123;200;0.00;8.51;8.12;10.98;9.55
1770048085.248;200;0.00;8.65;8.12;10.98;9.55
1770048085.435;200;0.00;8.75;8.12;10.98;9.55
1770048085.940;200;0.00;8.29;8.12;10.98;9.55
1770048086.003;200;8.00;7.84;8.12;10.98;9.55
1770048086.066;200;8.00;7.07;8.12;10.98;9.55
1770048086.128;200;8.13;6.95;8.12;10.98;9.55
1770048086.191;200;8.13;7.30;8.12;10.98;9.55
1770048086.254;200;8.26;7.45;8.12;10.98;9.55
1770048086.316;200;8.26;7.74;8.12;10.98;9.55
1770048086.380;200;8.37;7.81;8.12;10.98;9.55
1770048086.443;200;8.37;7.92;8.12;10.98;9.55
1770048086.506;200;8.50;8.09;8.12;10.98;9.55
1770048086.567;200;0.00;8.28;8.12;10.98;9.55
1770048086.630;200;0.00;8.12;8.12;10.98;9.55
1770048086.694;200;8.00;7.85;8.12;10.98;9.55
1770048086.756;200;8.13;7.74;8.12;10.98;9.55
1770048086.819;200;8.13;7.63;8.12;10.98;9.55
1770048086.882;200;8.24;7.76;8.12;10.98;9.55
1770048086.944;200;8.24;7.87;8.12;10.98;9.55
1770048087.006;200;8.38;8.07;8.12;10.98;9.55
1770048087.068;200;0.00;8.15;8.12;10.98;9.55
1770048087.131;200;0.00;8.29;8.12;10.98;9.55
1770048087.258;200;0.00;8.41;8.12;10.98;9.55
1770048087.322;200;0.00;8.54;8.12;10.98;9.55
1770048087.448;200;0.00;8.68;8.12;10.98;9.55
1770048087.638;200;0.00;8.79;8.12;10.98;9.55
1770048088.521;200;0.00;8.21;8.12;10.98;9.55
1770048088.584;200;8.00;7.75;8.12;10.98;9.55
1770048088.647;200;8.00;6.96;8.12;10.98;9.55
1770048088.711;200;8.10;6.83;8.12;10.98;9.55
1770048088.775;200;8.10;7.19;8.12;10.98;9.55
1770048088.838;200;8.26;7.34;8.12;10.98;9.55
1770048088.902;200;8.26;7.61;8.12;10.98;9.55
1770048088.964;200;8.37;7.83;8.12;10.98;9.55
1770048089.026;200;8.37;8.02;8.12;10.98;9.55
1770048089.087;200;0.00;8.17;8.12;10.98;9.55
1770048089.214;200;0.00;8.29;8.12;10.98;9.55
1770048089.276;200;8.00;7.88;8.12;10.98;9.55
1770048089.339;200;8.00;7.11;8.12;10.98;9.55
1770048089.402;200;8.12;6.48;8.12;10.98;9.55
1770048089.466;200;8.12;6.98;8.12;10.98;9.55
1770048089.529;200;8.22;7.38;8.12;10.98;9.55
1770048089.593;200;8.33;7.76;8.12;10.98;9.55
1770048089.655;200;8.44;8.11;8.12;10.98;9.55
1770048089.718;200;0.00;8.26;8.12;10.98;9.55
1770048089.845;200;0.00;8.53;8.12;10.98;9.55
1770048089.908;200;0.00;8.64;8.12;10.98;9.55
1770048090.034;200;0.00;8.76;8.12;10.98;9.55
1770048090.287;200;0.00;8.86;8.12;10.98;9.55
1770048090.599;200;0.00;8.97;8.12;10.98;9.55
1770048091.858;200;0.00;9.08;8.12;10.98;9.55
1770048092.048;200;0.00;9.22;8.12;10.98;9.55
1770048092.174;200;0.00;9.10;8.12;10.98;9.55
1770048092.238;200;0.00;8.54;8.12;10.98;9.55
1770048092.301;200;8.00;7.64;8.12;10.98;9.55
1770048092.365;200;8.00;7.26;8.12;10.98;9.55
1770048092.427;200;8.11;6.61;8.12;10.98;9.55
1770048092.489;200;8.11;6.10;8.12;10.98;9.55
1770048092.553;200;8.26;5.68;8.12;10.98;9.55
1770048092.616;200;8.26;6.29;8.12;10.98;9.55
1770048092.680;200;8.37;6.79;8.12;10.98;9.55
1770048092.744;200;8.48;7.17;8.12;10.98;9.55
1770048092.807;200;8.48;7.46;8.12;10.98;9.55
1770048092.869;200;8.59;7.58;8.12;10.98;9.55
1770048092.931;200;8.59;7.92;8.12;10.98;9.55
1770048093.057;200;0.00;8.19;8.12;10.98;9.55
1770048093.182;200;0.00;8.50;8.12;10.98;9.55
1770048093.245;200;0.00;8.62;8.12;10.98;9.55
1770048093.373;200;0.00;8.75;8.12;10.98;9.55
1770048093.561;200;0.00;8.86;8.12;10.98;9.55
1770048094.755;200;8.00;8.01;8.12;10.98;9.55
1770048094.818;200;8.00;7.29;8.12;10.98;9.55
1770048094.881;200;8.13;6.06;8.12;10.98;9.55
1770048094.943;200;8.13;5.87;8.12;10.98;9.55
1770048095.006;200;8.24;6.44;8.12;10.98;9.55
1770048095.069;200;8.24;6.69;8.12;10.98;9.55
1770048095.131;200;8.36;7.27;8.12;10.98;9.55
1770048095.194;200;8.36;7.56;8.12;10.98;9.55
1770048095.256;200;8.48;7.68;8.12;10.98;9.55
1770048095.319;200;8.48;7.90;8.12;10.98;9.55
1770048095.383;200;8.63;8.07;8.12;10.98;9.55
1770048095.446;200;0.00;8.29;8.12;10.98;9.55
1770048095.507;200;0.00;8.40;8.12;10.98;9.55
1770048095.633;200;0.00;8.51;8.12;10.98;9.55
1770048095.760;200;0.00;8.64;8.12;10.98;9.55
1770048095.886;200;0.00;8.75;8.12;10.98;9.55
1770048095.948;200;0.00;8.27;8.12;10.98;9.55
1770048096.011;200;8.00;7.82;8.12;10.98;9.55
1770048096.074;200;8.00;7.06;8.12;10.98;9.55
1770048096.137;200;8.11;6.95;8.12;10.98;9.55
1770048096.200;200;8.11;7.32;8.12;10.98;9.55
1770048096.263;200;8.26;7.48;8.12;10.98;9.55
1770048096.326;200;8.26;7.81;8.12;10.98;9.55
1770048096.389;200;8.37;8.02;8.12;10.98;9.55
1770048096.451;200;0.00;8.15;8.12;10.98;9.55
1770048096.577;200;0.00;8.26;8.12;10.98;9.55
1770048096.641;200;0.00;8.39;8.12;10.98;9.55
1770048096.765;200;0.00;8.50;8.12;10.98;9.55
1770048096.953;200;0.00;8.61;8.12;10.98;9.55
1770048097.769;200;0.00;8.19;8.12;10.98;9.55
1770048097.830;200;8.00;7.32;8.12;10.98;9.55
1770048097.893;200;8.00;6.95;8.12;10.98;9.55
1770048097.956;200;8.12;7.03;8.12;10.98;9.55
1770048098.018;200;8.26;7.36;8.12;10.98;9.55
1770048098.080;200;8.26;7.51;8.12;10.98;9.55
1770048098.142;200;8.26;7.75;8.12;10.98;9.55
1770048098.206;200;8.37;8.04;8.12;10.98;9.55
1770048098.269;200;8.48;7.61;8.12;10.98;9.55
1770048098.332;200;8.48;6.89;8.12;10.98;9.55
1770048098.393;200;8.59;6.58;8.12;10.98;9.55
1770048098.455;200;8.59;6.54;8.12;10.98;9.55
1770048098.519;200;8.70;6.95;8.12;10.98;9.55
1770048098.582;200;8.70;7.13;8.12;10.98;9.55
1770048098.645;200;8.80;7.55;8.12;10.98;9.55
1770048098.708;200;8.91;7.67;8.12;10.98;9.55
1770048098.771;200;8.91;7.95;8.12;10.98;9.55
1770048098.833;200;9.04;8.02;8.12;10.98;9.55
1770048098.895;200;0.00;8.15;8.12;10.98;9.55
1770048098.957;200;8.00;7.77;8.12;10.98;9.55
1770048099.021;200;8.00;7.01;8.12;10.98;9.55
1770048099.082;200;8.11;6.69;8.12;10.98;9.55
1770048099.145;200;8.11;6.64;8.12;10.98;9.55
1770048099.207;200;8.24;7.05;8.12;10.98;9.55
1770048099.270;200;8.24;7.38;8.12;10.98;9.55
1770048099.332;200;8.34;7.69;8.12;10.98;9.55
1770048099.396;200;8.48;7.94;8.12;10.98;9.55
1770048099.459;200;8.48;8.05;8.12;10.98;9.55
1770048099.523;200;0.00;8.30;8.12;10.98;9.55
1770048099.648;200;0.00;8.60;8.12;10.98;9.55
1770048099.774;200;0.00;9.01;8.12;10.98;9.55
1770048099.836;200;0.00;9.15;8.12;10.98;9.55
1770048099.900;200;0.00;9.26;8.12;10.98;9.55
1770048099.963;200;0.00;9.39;8.12;10.98;9.55
1770048100.088;200;0.00;9.50;8.12;10.98;9.55
1770048100.466;200;0.00;9.40;8.12;10.98;9.55
1770048100.593;200;0.00;9.29;8.12;10.98;9.55
1770048100.780;200;0.00;9.19;8.12;10.98;9.55
1770048101.657;200;0.00;9.09;8.12;10.98;9.55
1770048102.475;200;0.00;8.98;8.12;10.98;9.55
1770048103.293;200;0.00;8.46;8.12;10.98;9.55
1770048103.355;200;8.00;7.99;8.12;10.98;9.55
1770048103.418;200;8.10;7.20;8.12;10.98;9.55
1770048103.481;200;8.10;7.06;8.12;10.98;9.55
1770048103.544;200;8.21;7.41;8.12;10.98;9.55
1770048103.606;200;8.21;7.56;8.12;10.98;9.55
1770048103.670;200;8.34;7.75;8.12;10.98;9.55
1770048103.796;200;8.48;7.84;8.12;10.98;9.55
1770048103.923;200;8.60;7.88;8.12;10.98;9.55
1770048103.986;200;8.60;8.01;8.12;10.98;9.55
1770048104.047;200;0.00;8.12;8.12;10.98;9.55
1770048104.111;200;0.00;8.31;8.12;10.98;9.55
1770048104.171;200;0.00;8.48;8.12;10.98;9.55
1770048104.234;200;0.00;8.63;8.12;10.98;9.55
1770048104.298;200;0.00;8.76;8.12;10.98;9.55
1770048104.425;200;0.00;8.88;8.12;10.98;9.55
1770048104.488;200;0.00;8.99;8.12;10.98;9.55
1770048104.614;200;0.00;9.10;8.12;10.98;9.55
1770048104.867;200;0.00;9.20;8.12;10.98;9.55
1770048105.182;200;0.00;9.09;8.12;10.98;9.55
1770048105.433;200;0.00;8.99;8.12;10.98;9.55
1770048105.747;200;0.00;8.89;8.12;10.98;9.55
1770048106.562;200;0.00;8.99;8.12;10.98;9.55
1770048107.506;200;0.00;9.13;8.12;10.98;9.55
1770048107.569;200;0.00;9.25;8.12;10.98;9.55
1770048107.759;200;0.00;9.37;8.12;10.98;9.55
1770048107.884;200;0.00;9.26;8.12;10.98;9.55
1770048108.011;200;0.00;9.14;8.12;10.98;9.55
1770048108.262;200;0.00;9.03;8.12;10.98;9.55
1770048108.450;200;0.00;8.87;8.12;10.98;9.55
1770048108.576;200;0.00;8.71;8.12;10.98;9.55
1770048108.639;200;0.00;8.57;8.12;10.98;9.55
1770048108.765;200;0.00;8.68;8.12;10.98;9.55
1770048108.954;200;0.00;8.79;8.12;10.98;9.55
1770048109.205;200;0.00;8.89;8.12;10.98;9.55
1770048110.215;200;0.00;8.78;8.12;10.98;9.55
1770048110.593;200;0.00;8.68;8.12;10.98;9.55
1770048111.096;200;0.00;8.79;8.12;10.98;9.55
1770048112.234;200;0.00;8.68;8.12;10.98;9.55
1770048112.547;200;0.00;8.18;8.12;10.98;9.55
1770048112.611;200;8.00;6.97;8.12;10.98;9.55
1770048112.672;200;8.10;6.64;8.12;10.98;9.55
1770048112.735;200;8.10;7.05;8.12;10.98;9.55
1770048112.798;200;8.24;7.38;8.12;10.98;9.55
1770048112.862;200;8.24;7.65;8.12;10.98;9.55
1770048112.925;200;8.36;7.87;8.12;10.98;9.55
1770048112.988;200;8.36;8.05;8.12;10.98;9.55
1770048113.051;200;0.00;8.13;8.12;10.98;9.55
1770048113.113;200;0.00;8.28;8.12;10.98;9.55
1770048113.176;200;0.00;8.40;8.12;10.98;9.55
1770048113.299;200;0.00;8.57;8.12;10.98;9.55
1770048113.425;200;0.00;8.71;8.12;10.98;9.55
1770048113.489;200;0.00;8.85;8.12;10.98;9.55
1770048113.552;200;0.00;8.99;8.12;10.98;9.55
1770048113.616;200;0.00;9.11;8.12;10.98;9.55
1770048114.182;200;0.00;9.01;8.12;10.98;9.55
1770048114.684;200;0.00;9.12;8.12;10.98;9.55
1770048115.688;200;0.00;9.01;8.12;10.98;9.55
1770048115.751;200;0.00;8.48;8.12;10.98;9.55
1770048115.814;200;8.00;8.02;8.12;10.98;9.55
1770048115.878;200;8.00;7.24;8.12;10.98;9.55
1770048115.942;200;8.11;7.10;8.12;10.98;9.55
1770048116.004;200;8.11;7.44;8.12;10.98;9.55
1770048116.065;200;8.26;7.59;8.12;10.98;9.55
1770048116.127;200;8.26;7.83;8.12;10.98;9.55
1770048116.253;200;8.37;8.09;8.12;10.98;9.55
1770048116.316;200;0.00;8.32;8.12;10.98;9.55
1770048116.441;200;0.00;8.45;8.12;10.98;9.55
1770048116.503;200;0.00;8.69;8.12;10.98;9.55
1770048116.628;200;0.00;8.82;8.12;10.98;9.55
1770048116.819;200;0.00;8.94;8.12;10.98;9.55
1770048117.890;200;0.00;9.06;8.12;10.98;9.55
1770048118.265;200;0.00;9.16;8.12;10.98;9.55
1770048119.651;200;0.00;9.05;8.12;10.98;9.55
1770048120.410;200;0.00;9.16;8.12;10.98;9.55
1770048122.736;200;0.00;9.05;8.12;10.98;9.55
1770048123.240;200;0.00;8.95;8.12;10.98;9.55
1770048123.678;200;0.00;8.84;8.12;10.98;9.55
1770048124.247;200;0.00;8.31;8.12;10.98;9.55
1770048124.311;200;8.00;7.86;8.12;10.98;9.55
1770048124.374;200;8.00;7.08;8.12;10.98;9.55
1770048124.438;200;8.11;6.76;8.12;10.98;9.55
1770048124.501;200;8.11;7.16;8.12;10.98;9.55
1770048124.565;200;8.26;7.49;8.12;10.98;9.55
1770048124.629;200;8.26;7.77;8.12;10.98;9.55
1770048124.693;200;8.37;8.00;8.12;10.98;9.55
1770048124.756;200;0.00;8.19;8.12;10.98;9.55
1770048124.818;200;0.00;8.33;8.12;10.98;9.55
1770048124.946;200;0.00;8.44;8.12;10.98;9.55
1770048125.009;200;0.00;8.68;8.12;10.98;9.55
1770048125.134;200;0.00;8.85;8.12;10.98;9.55
1770048125.197;200;0.00;8.97;8.12;10.98;9.55
1770048125.260;200;0.00;9.07;8.12;10.98;9.55
1770048125.387;200;0.00;9.19;8.12;10.98;9.55
1770048125.575;200;0.00;9.29;8.12;10.98;9.55
1770048126.452;200;0.00;9.19;8.12;10.98;9.55
1770048127.083;200;0.00;9.08;8.12;10.98;9.55
1770048127.337;200;0.00;9.23;8.12;10.98;9.55
1770048128.098;200;0.00;9.13;8.12;10.98;9.55
1770048131.637;200;0.00;9.02;8.12;10.98;9.55
1770048132.140;200;0.00;9.13;8.12;10.98;9.55
1770048132.202;200;0.00;9.24;8.12;10.98;9.55
1770048132.392;200;0.00;9.12;8.12;10.98;9.55
1770048133.462;200;0.00;9.23;8.12;10.98;9.55
1770048133.652;200;0.00;9.34;8.12;10.98;9.55
1770048134.409;200;0.00;9.24;8.12;10.98;9.55
1770048134.976;200;0.00;9.13;8.12;10.98;9.55
1770048135.800;200;0.00;9.02;8.12;10.98;9.55
1770048136.430;200;0.00;8.91;8.12;10.98;9.55
1770048136.681;200;0.00;8.80;8.12;10.98;9.55
1770048136.871;200;0.00;8.27;8.12;10.98;9.55
1770048136.935;200;8.00;7.42;8.12;10.98;9.55
1770048136.996;200;8.00;7.06;8.12;10.98;9.55
1770048137.059;200;8.13;7.16;8.12;10.98;9.55
1770048137.123;200;8.25;7.51;8.12;10.98;9.55
1770048137.185;200;8.25;7.81;8.12;10.98;9.55
1770048137.248;200;8.37;8.05;8.12;10.98;9.55
1770048137.312;200;0.00;8.16;8.12;10.98;9.55
1770048137.438;200;0.00;8.34;8.12;10.98;9.55
1770048137.501;200;0.00;8.48;8.12;10.98;9.55
1770048137.627;200;0.00;8.60;8.12;10.98;9.55
1770048137.690;200;0.00;8.77;8.12;10.98;9.55
1770048137.815;200;0.00;8.91;8.12;10.98;9.55
1770048137.877;200;0.00;9.04;8.12;10.98;9.55
1770048137.940;200;0.00;9.17;8.12;10.98;9.55
1770048138.002;200;0.00;9.27;8.12;10.98;9.55
1770048138.825;200;0.00;9.37;8.12;10.98;9.55
1770048139.075;200;0.00;9.25;8.12;10.98;9.55
1770048139.582;200;0.00;9.14;8.12;10.98;9.55
1770048140.650;200;0.00;9.24;8.12;10.98;9.55
1770048141.786;200;0.00;9.13;8.12;10.98;9.55
1770048142.415;200;0.00;9.03;8.12;10.98;9.55
1770048142.603;200;0.00;8.54;8.12;10.98;9.55
1770048142.666;200;8.00;8.08;8.12;10.98;9.55
1770048142.729;200;8.00;7.28;8.12;10.98;9.55
1770048142.791;200;8.10;7.15;8.12;10.98;9.55
1770048142.854;200;8.10;7.33;8.12;10.98;9.55
1770048142.916;200;8.21;7.65;8.12;10.98;9.55
1770048142.980;200;8.21;7.92;8.12;10.98;9.55
1770048143.044;200;0.00;8.14;8.12;10.98;9.55
1770048143.106;200;0.00;8.32;8.12;10.98;9.55
1770048143.170;200;0.00;8.49;8.12;10.98;9.55
1770048143.233;200;0.00;8.63;8.12;10.98;9.55
1770048143.295;200;0.00;8.74;8.12;10.98;9.55
1770048143.359;200;0.00;8.85;8.12;10.98;9.55
1770048143.487;200;0.00;8.99;8.12;10.98;9.55
1770048143.550;200;0.00;9.13;8.12;10.98;9.55
1770048143.677;200;0.00;9.25;8.12;10.98;9.55
1770048143.865;200;0.00;9.36;8.12;10.98;9.55
1770048145.822;200;0.00;9.47;8.12;10.98;9.55
1770048145.949;200;0.00;9.58;8.12;10.98;9.55
1770048146.575;200;0.00;9.69;8.12;10.98;9.55
1770048147.836;200;0.00;9.58;8.12;10.98;9.55
1770048148.152;200;0.00;9.47;8.12;10.98;9.55
1770048150.240;200;0.00;9.57;8.12;10.98;9.55
1770048150.998;200;0.00;9.47;8.12;10.98;9.55
1770048151.125;200;0.00;9.36;8.12;10.98;9.55
1770048151.441;200;0.00;9.47;8.12;10.98;9.55
1770048152.133;200;0.00;9.58;8.12;10.98;9.55
1770048153.144;200;0.00;9.47;8.12;10.98;9.55
1770048153.463;200;0.00;9.37;8.12;10.98;9.55
1770048153.779;200;0.00;9.26;8.12;10.98;9.55
1770048154.412;200;0.00;9.16;8.12;10.98;9.55
1770048154.917;200;0.00;9.26;8.12;10.98;9.55
1770048155.105;200;0.00;9.38;8.12;10.98;9.55
1770048156.807;200;0.00;9.50;8.12;10.98;9.55
1770048157.436;200;0.00;9.39;8.12;10.98;9.55
1770048157.624;200;0.00;9.28;8.12;10.98;9.55
1770048158.568;200;0.00;9.17;8.12;10.98;9.55
1770048159.383;200;0.00;9.29;8.12;10.98;9.55
1770048159.635;200;0.00;9.40;8.12;10.98;9.55
1770048159.824;200;0.00;9.51;8.12;10.98;9.55
1770048160.013;200;0.00;9.61;8.12;10.98;9.55
1770048160.771;200;0.00;9.51;8.12;10.98;9.55
1770048160.961;200;0.00;9.40;8.12;10.98;9.55
1770048161.276;200;0.00;9.51;8.12;10.98;9.55
1770048161.593;200;0.00;9.40;8.12;10.98;9.55
1770048161.782;200;0.00;9.27;8.12;10.98;9.55
1770048161.909;200;0.00;9.14;8.12;10.98;9.55
1770048162.224;200;0.00;9.03;8.12;10.98;9.55
1770048163.104;200;0.00;9.15;8.12;10.98;9.55
1770048163.167;200;0.00;9.26;8.12;10.98;9.55
1770048163.294;200;0.00;9.38;8.12;10.98;9.55
1770048163.989;200;0.00;9.28;8.12;10.98;9.55
1770048165.315;200;0.00;9.17;8.12;10.98;9.55
1770048165.442;0;0.00;9.15;8.12;10.98;9.55
1770048165.696;0;0.00;9.03;8.12;10.98;9.55
1770048166.582;0;0.00;9.15;8.12;10.98;9.55
1770048166.707;0;0.00;8.98;8.12;10.98;9.55
1770048166.770;0;0.00;8.63;8.12;10.98;9.55
1770048166.834;0;0.00;8.47;8.12;10.98;9.55
1770048166.897;0;0.00;7.63;8.12;10.98;9.55
1770048166.960;0;0.00;6.43;8.12;10.98;9.55
1770048167.024;0;0.00;5.46;8.12;10.98;9.55
1770048167.087;0;0.00;5.66;8.12;10.98;9.55
1770048167.149;0;0.00;6.01;8.12;10.98;9.55
1770048167.211;0;0.00;6.16;8.12;10.98;9.55
1770048167.275;0;0.00;6.41;8.12;10.98;9.55
1770048167.399;0;0.00;6.71;8.12;10.98;9.55
1770048167.463;0;0.00;5.50;8.12;10.98;9.55
1770048167.526;0;0.00;4.45;8.12;10.98;9.55
1770048167.589;0;0.00;3.61;8.12;10.98;9.55
1770048167.652;0;0.00;2.92;8.12;10.98;9.55
1770048167.715;0;0.00;2.63;8.12;10.98;9.55
1770048167.778;0;0.00;2.13;8.12;10.98;9.55
